report_date,contract_code,noncomm_long,noncomm_short,comm_long,comm_short,open_interest,net_noncomm,fetched_at
2023-12-12,097741,28226,109357,172756,93229,257581,-81131,2026-07-04T22:16:38.729808+00:00
2023-12-19,097741,31734,96636,112422,49729,185940,-64902,2026-07-04T22:16:38.729808+00:00
2023-12-26,097741,37321,92889,110013,57354,188540,-55568,2026-07-04T22:16:38.729808+00:00
2024-01-02,097741,33585,90780,108605,53116,184042,-57195,2026-07-04T22:16:38.729808+00:00
2024-01-09,097741,41364,97313,113876,59685,200299,-55949,2026-07-04T22:16:38.729808+00:00
2024-01-16,097741,44180,100740,125048,63324,213309,-56560,2026-07-04T22:16:38.729808+00:00
2024-01-23,097741,52585,123230,144222,67230,243032,-70645,2026-07-04T22:16:38.729808+00:00
2024-01-30,097741,44918,125373,148972,68838,242029,-80455,2026-07-04T22:16:38.729808+00:00
2024-02-06,097741,55646,139876,155571,72588,259542,-84230,2026-07-04T22:16:38.729808+00:00
2024-02-13,097741,58554,170090,194067,78895,304592,-111536,2026-07-04T22:16:38.729808+00:00
2024-02-20,097741,53862,174640,199061,73207,305438,-120778,2026-07-04T22:16:38.729808+00:00
2024-02-27,097741,51261,183966,204425,72443,309633,-132705,2026-07-04T22:16:38.729808+00:00
2024-03-05,097741,54671,173514,200129,86604,314586,-118843,2026-07-04T22:16:38.729808+00:00
2024-03-12,097741,54923,157245,207478,109601,325675,-102322,2026-07-04T22:16:38.729808+00:00
2024-03-19,097741,66274,182286,182299,67180,302500,-116012,2026-07-04T22:16:38.729808+00:00
2024-03-26,097741,59969,189075,194045,64457,305701,-129106,2026-07-04T22:16:38.729808+00:00
2024-04-02,097741,55190,198420,205195,65701,316809,-143230,2026-07-04T22:16:38.729808+00:00
2024-04-09,097741,47275,209426,219256,62314,324479,-162151,2026-07-04T22:16:38.729808+00:00
2024-04-16,097741,49463,215082,230642,62900,331110,-165619,2026-07-04T22:16:38.729808+00:00
2024-04-23,097741,42426,222345,239847,60703,336167,-179919,2026-07-04T22:16:38.729808+00:00
2024-04-30,097741,40435,208823,244920,68798,334848,-168388,2026-07-04T22:16:38.729808+00:00
2024-05-07,097741,34990,169912,219305,77532,299859,-134922,2026-07-04T22:16:38.729808+00:00
2024-05-14,097741,35303,161485,216442,83148,297606,-126182,2026-07-04T22:16:38.729808+00:00
2024-05-21,097741,29614,173981,224424,77907,301315,-144367,2026-07-04T22:16:38.729808+00:00
2024-05-28,097741,28565,184604,246911,80789,325231,-156039,2026-07-04T22:16:38.729808+00:00
2024-06-04,097741,40427,172528,204830,74935,303009,-132101,2026-07-04T22:16:38.729808+00:00
2024-06-11,097741,30763,169342,228809,83182,319274,-138579,2026-07-04T22:16:38.729808+00:00
2024-06-18,097741,29429,177182,227907,68141,297117,-147753,2026-07-04T22:16:38.729808+00:00
2024-06-25,097741,34576,208476,259292,77434,340237,-173900,2026-07-04T22:16:38.729808+00:00
2024-07-02,097741,36714,220937,264603,70058,349817,-184223,2026-07-04T22:16:38.729808+00:00
2024-07-09,097741,41521,223554,257455,67588,348954,-182033,2026-07-04T22:16:38.729808+00:00
2024-07-16,097741,47356,198428,216042,56953,307205,-151072,2026-07-04T22:16:38.729808+00:00
2024-07-23,097741,64390,171498,194534,85766,307183,-107108,2026-07-04T22:16:38.729808+00:00
2024-07-30,097741,65016,138476,195104,117524,303151,-73460,2026-07-04T22:16:38.729808+00:00
2024-08-06,097741,66169,77523,191829,179633,298937,-11354,2026-07-04T22:16:38.729808+00:00
2024-08-13,097741,87101,63997,190064,213591,315338,23104,2026-07-04T22:16:38.729808+00:00
2024-08-20,097741,88761,65176,187055,215456,316197,23585,2026-07-04T22:16:38.729808+00:00
2024-08-27,097741,84305,58437,190141,221591,318259,25868,2026-07-04T22:16:38.729808+00:00
2024-09-03,097741,91791,50675,189291,236056,326795,41116,2026-07-04T22:16:38.729808+00:00
2024-09-10,097741,98894,43124,223698,290417,376514,55770,2026-07-04T22:16:38.729808+00:00
2024-09-17,097741,97332,40492,56915,128754,199463,56840,2026-07-04T22:16:38.729808+00:00
2024-09-24,097741,104690,38679,58606,136114,207702,66011,2026-07-04T22:16:38.729808+00:00
2024-10-01,097741,95513,38741,58635,125382,196200,56772,2026-07-04T22:16:38.729808+00:00
2024-10-08,097741,83679,47151,73626,111285,196685,36528,2026-07-04T22:16:38.729808+00:00
2024-10-15,097741,86685,52575,68697,105336,197871,34110,2026-07-04T22:16:38.729808+00:00
2024-10-22,097741,79364,66593,86382,97010,207338,12771,2026-07-04T22:16:38.729808+00:00
2024-10-29,097741,64925,89742,121136,93054,225894,-24817,2026-07-04T22:16:38.729808+00:00
2024-11-05,097741,60334,104501,135946,88651,235762,-44167,2026-07-04T22:16:38.729808+00:00
2024-11-12,097741,64038,128940,153738,81565,257688,-64902,2026-07-04T22:16:38.729808+00:00
